title,text,annotation
c00d1607-ac36-457b-a34b-75ad74f9cf0a,"4 CONTRAINDICATIONS

INVIRASE/ritonavir is contraindicated in patients with congenital long QT syndrome, those with refractory hypokalemia or hypomagnesemia, and in combination with drugs that both increase saquinavir plasma concentrations and prolong the QT interval [see Warnings and Precautions (5.4) and Clinical Pharmacology (12.2)].
INVIRASE/ritonavir is contraindicated in patients with complete atrioventricular (AV) block without implanted pacemakers, or patients who are at high risk of complete AV block [see Warnings and Precautions (5.3)].
INVIRASE/ritonavir is contraindicated in patients with clinically significant hypersensitivity (e.g., anaphylactic reaction, Stevens-Johnson syndrome) to saquinavir, saquinavir mesylate, or any of its ingredients.
INVIRASE/ ritonavir is contraindicated in patients with severe hepatic impairment.
INVIRASE/ritonavir is contraindicated with drugs that are CYP3A substrates for which increased plasma levels may result in serious or life-threatening reactions [see Warnings and Precautions (5.2), Drug Interactions (7) and Clinical Pharmacology (12.3)].
INVIRASE/ritonavir is contraindicated in patients receiving the following co-administered drugs; however, it should be noted that this list is not intended to be exhaustive [see Drug Interactions (7) and Clinical Pharmacology (12.3)]



-Alpha 1-adrenoreceptor antagonist: alfuzosin

-Antiarrhythmics: amiodarone, bepridil, dofetilide, flecainide, lidocaine (systemic), propafenone, quinidine

-Antidepressant: trazodone

-Anti-infectives: clarithromycin, erythromycin, halofantrine, pentamidine

-Antimycobacterial Agents: rifampin

-Antipsychotics: lurasidone, clozapine, haloperidol, pimozide, sertindole, ziprasidone, phenothiazines (e.g. chlorpromazine, mesoridazine, thioridazine).

-Ergot Derivatives: dihydroergotamine, ergonovine, ergotamine, methylergonovine

-HIV-1 Protease Inhibitor: atazanavir

-HMG-CoA Reductase Inhibitors:  lovastatin, simvastatin

-Immunosuppressant: tacrolimus

-Non-nucleoside reverse transcriptase inhibitor (NNRTI): rilpivirine (concomitant use and switching from rilpivirine to INVIRASE/ritonavir without a washout period of at least 2 weeks is contraindicated)

-PDE5 Inhibitors: sildenafil (Revatio®)[for treatment of pulmonary arterial hypertension]

-Sedative/Hypnotics: triazolam, and orally administered midazolam

-Tyrosine kinase inhibitors: dasatinib, sunatinib

-Other drugs that are CYP3A substrates: disopyramide, quinine







INVIRASE/ritonavir is contraindicated in patients with congenital or documented acquired QT prolongation, patients with refractory hypokalemia or hypomagnesemia, or those on concomitant therapy with other drugs that prolong the QT interval. (4)
INVIRASE is contraindicated in patients with complete atrioventricular (AV) block without implanted pacemakers, or patients who are at high risk of complete AV block. (4)
INVIRASE is contraindicated in patients with clinically significant hypersensitivity (e.g., anaphylactic reaction, Stevens-Johnson syndrome) to saquinavir, saquinavir mesylate, or any of its ingredients. (4)
INVIRASE/ritonavir is contraindicated in patients with severe hepatic impairment. (4)
INVIRASE/ritonavir is contraindicated with CYP3A substrates for which increased plasma levels may result in serious or life-threatening reactions. (4)
INVIRASE/ritonavir is contraindicated to be coadministered with rifampin due to the risk of severe hepatotoxicity. (4)","congenital long QT syndrome,refractory hypokalemia,hypomagnesemia,in combination with drugs that both increase saquinavir plasma concentrations and prolong the QT interval,complete atrioventricular block without implanted pacemakers,high risk of complete atrioventricular block,clinically significant hypersensitivity to saquinavir,clinically significant hypersensitivity to saquinavir mesylate,clinically significant hypersensitivity to any of the ingredients of saquinavir,severe hepatic impairment,with drugs that are CYP3A substrates"
9ec59262-35c1-4d8e-8451-a7cfbacb0675,"4 CONTRAINDICATIONS


As with other immunoglobulin preparations, BabyBIG should not be used in individuals with a prior history of severe reaction to other human immunoglobulin preparations.[1-4]

Individuals with selective immunoglobulin A deficiency have the potential for developing antibodies to immunoglobulin A and could have anaphylactic reactions to the subsequent administration of blood products that contain immunoglobulin A.







Prior history of severe reaction to other human immunoglobulin preparations (4)
Selective immunoglobulin A deficiency with anti-IgA antibodies (4)","history of severe reaction to human immunoglobulin preparations,selective immunoglobulin A deficiency with anti-IgA antibodies"
1b97bd3a-1040-4511-b0e6-4758e8083ae5,"4 CONTRAINDICATIONS

None
						





None (4)",
ed23b6bc-32c7-4c50-a53d-313ae78e5623,"CONTRAINDICATIONS

Cefotaxime is contraindicated in patients who have shown hypersensitivity to cefotaxime sodium, or the cephalosporin group of antibiotics.","hypersensitivity to cefotaxime sodium,hypersensitivity to the cephalosporin group of antibodies"
df4cd207-c3b8-4008-5290-02f296c2b4a6,"4 CONTRAINDICATIONS 

None.





None (4).",
49c16717-7d86-4257-80c9-baa1417e5555,"CONTRAINDICATIONS

Panretin® gel is contraindicated in patients with a known hypersensitivity to retinoids or to any of the ingredients of the product.","hypersensitivity to retinoids,hypersensitivity to any of the ingredients of Panretin gel"
32fd2bb2-1cfa-4250-feb8-d7956c794e05,"4 CONTRAINDICATIONS

MYLOTARG is contraindicated in patients with a history of hypersensitivity to the active substance in MYLOTARG or any of its components or to any of the excipients. Reactions have included anaphylaxis [see Warnings and Precautions (5.2), Adverse Reactions (6)].





Hypersensitivity to MYLOTARG or any of its components (4).","hypersensitivity to the active substance in MYLOTARG,hypersensitivity to any of the components of MYLOTARG,hypersensitivity to any of the excipients of MYLOTARG"
3784c35c-e87f-410c-900b-8fd6313c6010,"4 CONTRAINDICATIONS

The concomitant use of TYBOST with atazanavir or darunavir and the following drugs is contraindicated due to the potential for serious and/or life-threatening events or loss of therapeutic effect [see Drug Interactions (7.3) and Clinical Pharmacology (12.3)].

Alpha 1-adrenoreceptor antagonist: alfuzosin
Antianginal: ranolazine
Antiarrhythmic: dronedarone
Anticonvulsants: carbamazepine, phenobarbital, phenytoin
Anti-gout: colchicine
Antimycobacterial: rifampin
Antineoplastics: irinotecanThese contraindications apply only to TYBOST coadministered with atazanavir

Antipsychotics: lurasidone, pimozide
Ergot Derivatives: dihydroergotamine, ergotamine, methylergonovine
Herbal Products: St. John's wort (Hypericum perforatum)
Hormonal Contraceptives: drospirenone/ ethinyl estradiol

Lipid-modifying Agents: lomitapide, lovastatin, simvastatin
Non-nucleoside Reverse Transcriptase Inhibitor: nevirapine

Phosphodiesterase-5 (PDE-5) Inhibitor: sildenafil when administered as Revatio® for the treatment of pulmonary arterial hypertension
Protease Inhibitor: indinavir

Sedative/hypnotics triazolam, orally administered midazolam






Coadministration with certain drugs for which altered plasma concentrations are associated with serious and/or life-threatening events or loss of therapeutic effect. (4)",coadministration with certain drugs for which altered plasma concentrations are associated with serious and/or life-threatening events or loss of therapeutic effect
baa68c79-5f3d-468a-a510-58b9e978cd50,"4 CONTRAINDICATIONS

None





None (
         
 
    4)",
96f19af4-de8f-4fd7-90d8-55fe6ebdd81d,"CONTRAINDICATIONS 

Meclofenamate sodium capsules are contraindicated in patients with known hypersensitivity to meclofenamate sodium. 
Meclofenamate sodium capsules should not be given to patients who have experienced asthma, urticaria, or allergic-type reactions after taking aspirin or other NSAIDs. Severe, rarely fatal, anaphylactic-like reactions to NSAIDs have been reported in such patients (see WARNINGS: Anaphylactoid Reactions and PRECAUTIONS: Preexisting Asthma). 
Meclofenamate sodium capsules are contraindicated in the setting of coronary artery bypass graft (CABG) surgery (see WARNINGS).","hypersensitivity to meclofenamate sodium,asthma after taking NSAIDs,urticaria after taking NSAIDs,allergic-type reactions after taking NSAIDs,coronary artery bypass graft surgery"
3819daf3-e935-2c53-c527-e1d57922f394,"4 CONTRAINDICATIONS

ADDYI is contraindicated in patients:


•Using concomitant moderate or strong CYP3A4 inhibitors [see 
Boxed Warning
 and 
Warnings and Precautions (5.2)
].

•With hepatic impairment [see 
Boxed Warning
 and 
Warnings and Precautions (5.5)
].

•
With known hypersensitivity to ADDYI or any of its components. Reactions, including anaphylaxis, reactions consistent with angioedema (e.g., swelling of the face, lips, and mouth), pruritus, and urticaria have been reported [see 
Adverse Reactions (6.2)
].









•Moderate or strong cytochrome P450 3A4 (CYP3A4) inhibitors (4, 5.2)


•Hepatic impairment (4, 5.5)","moderate or strong CYP3A4 inhibitors,hepatic impairment,hypersensitivity to ADDYI,hypersensitivity to any components of ADDYI"
b4dfe70f-0a86-4488-9ba1-dcd8f86cbfcd,"CONTRAINDICATIONS

None.





None (4)",
2105d1c1-54ef-4d1a-a63c-b1619e8b50db,"CONTRAINDICATIONS

Magnesium Chloride Injection should not be administered if there is renal impairment, marked myocardial disease or to comatose patients.","renal impairment,myocardial disease,comatose"
db23a56f-1e41-4843-9220-1b2e3059db41,"CONTRAINDICATIONS

Prilocaine is contraindicated in patients with a known history of hypersensitivity to local anesthetics of the amide type and in those rare patients with congenital or idiopathic methemoglobinemia.","hypersensitivity to local anesthetics of the amide type,congential methemoglobinemia,idiopathic methemoglobinemia"
485ab3c5-0359-4878-872f-2fe1e7df4047,"4     CONTRAINDICATIONS

Brineura is contraindicated in patients with:

any sign or symptom of acute, unresolved localized infection on or around the device insertion site (e.g. cellulitis or abscess); or suspected or confirmed CNS infection (e.g. cloudy CSF or positive CSF gram stain, or meningitis) [see Warnings and Precautions (5.1)].
any acute intraventricular access device-related complication (e.g., leakage, extravasation of fluid, or device failure) [see Warnings and Precautions (5.2)].
ventriculoperitoneal shunts.








Any sign or symptom of acute or unresolved localized infection on or around the device insertion site (e.g. cellulitis or abscess); or suspected or confirmed CNS infection (e.g., cloudy CSF or positive CSF gram stain, or meningitis). (4)


Any acute intraventricular access device-related complication (e.g., leakage, extravasation of fluid, or device failure). (4)


Patients with ventriculoperitoneal shunts. (4)","acute, unresolved localized infection on or around the device insertion site,CNS infection,acute intraventricular access device-related complication,ventriculoperitoneal shunts"
17f85d17-ab71-4f5b-9fe3-0b8c822f69ff,"4 CONTRAINDICATIONS

PERJETA is contraindicated in patients with known hypersensitivity to pertuzumab or to any of its excipients.





PERJETA is contraindicated in patients with known hypersensitivity to pertuzumab or to any of its excipients. (4)","hypersensitivity to pertuzumab,hypersensitivity to any of the excipients of pertuzumab"
75c0c785-38e0-4049-a6fb-b77581f5b35c,"4 CONTRAINDICATIONS

FETROJA is contraindicated in patients with a known history of severe hypersensitivity to cefiderocol or other beta-lactam antibacterial drugs, or any other component of FETROJA [see Warnings and Precautions (5.2) and Adverse Reactions (6.1)].





FETROJA is contraindicated in patients with a known history of severe hypersensitivity to cefiderocol and other beta-lactam antibacterial drugs or other components of FETROJA. (4)","hypersensitivity to cefiderocol,hypersensitivity to beta-lactam antibacterial drugs,hypersensitivity to any component of FETROJA"
33a147be-233a-40e8-a55e-e40936e28db0,"4 CONTRAINDICATIONS


EMGALITY is contraindicated in patients with serious hypersensitivity to galcanezumab-gnlm or to any of the excipients [see Warnings and Precautions (5.1)].






EMGALITY is contraindicated in patients with serious hypersensitivity to galcanezumab-gnlm or to any of the excipients. (4)",
52fea941-0b47-41c1-b00d-f88150e8ab93,"CONTRAINDICATIONS 

Thioridazine hydrochloride tablet use should be avoided in combination with other drugs that are known to prolong the QTc interval and in patients with congenital long QT syndrome or a history of cardiac arrhythmias.
Reduced cytochrome P450 2D6 isozyme activity drugs that inhibit this isozyme (e.g., fluoxetine and paroxetine) and certain other drugs (e.g., fluvoxamine, propranolol, and pindolol) appear to appreciably inhibit the metabolism of thioridazine. The resulting elevated levels of thioridazine would be expected to augment the prolongation of the QTc interval associated with thioridazine and may increase the risk of serious, potentially fatal, cardiac arrhythmias, such as Torsades de pointes type arrhythmias. Such an increased risk may result also from the additive effect of coadministering thioridazine with other agents that prolong the QTc interval. Therefore, thioridazine is contraindicated with these drugs as well as in patients, comprising about 7% of the normal population, who are known to have a genetic defect leading to reduced levels of activity of P450 2D6 (see 
       
 
  WARNINGS and 
       
 
  PRECAUTIONS).
      

 
In common with other phenothiazines, thioridazine is contraindicated in severe central nervous system depression or comatose states from any cause including drug induced central nervous system depression (see 
       
 
  WARNINGS). It should also be noted that hypertensive or hypotensive heart disease of extreme degree is a contraindication of phenothiazine administration.",
bfd9a2dd-7b40-40c0-b256-52f613395760,"CONTRAINDICATIONS:


Dyclonine HCl Topical Solution, USP is contraindicated in patients known to be hypersensitive (allergic) to the local anesthetic or to other components of Dyclonine HCl Topical Solution, USP.",
56b6ba36-9b49-4422-a2a4-7bfa0d941a5d,"CONTRAINDICATIONS

Eulexin™ capsules are contraindicated in patients who are hypersensitive to Eulexin™ or any component of this preparation.
Eulexin™ capsules are contraindicated in patients with severe hepatic impairment (baseline hepatic enzymes should be evaluated prior to treatment).",
af9a96cf-1cd7-8ace-e053-2a95a90a18cc,"4. CONTRAINDICATIONS

None.





None. (4)",
abc1d07f-91ee-4421-bc9b-457d0ed41f4c,CONTRAINDICATIONS: Trifluridine Ophthalmic Solution is contraindicated for patients who develop hypersensitivity reactions or chemical intolerance to trifluridine.,
571fe550-399d-4296-835c-37aa1ab9b409,"CONTRAINDICATIONS

Carteolol is contraindicated in those individuals with bronchial asthma or with a history of bronchial asthma, or severe chronic obstructive pulmonary disease (see 
WARNINGS
); sinus bradycardia; second- and third-degree atrioventricular block; overt cardiac failure (see 
WARNINGS
); cardiogenic shock; or hypersensivity to any component of this product.",
47547f93-489c-4298-aeea-d6a37ca6cb1d,"4 CONTRAINDICATIONS

None.





None.",
c09c4cde-9f6c-4c4f-9d96-18beb5377564,"CONTRAINDICATIONS

Androgens are contraindicated in men with carcinomas of the breast or with known or suspected carcinomas of the prostate, and in women who are or may become pregnant. When administered to pregnant women, androgens cause virilization of the external genitalia of the female fetus. This virilization includes clitoromegaly, abnormal vaginal development, and fusion of genital folds to form a scrotal-like structure. The degree of masculinization is related to the amount of drug given and the age of the fetus, and is most likely to occur in the female fetus when the drugs are given in the first trimester. If the patient becomes pregnant while taking these drugs, she should be apprised of the potential hazard to the fetus.",
efbdafa9-d18c-4e85-b4a2-1e620fc74e50,"4 CONTRAINDICATIONS

Zydelig is contraindicated in patients with a history of serious hypersensitivity reactions to idelalisib, including anaphylaxis, or patients with a history of toxic epidermal necrolysis with any drug [see Warnings and Precautions (5.6, 5.7)] .





History of serious hypersensitivity reactions to idelalisib, including anaphylaxis, or history of toxic epidermal necrolysis with any drug. (4)",
aacdd8a7-18b7-43c6-b866-14aa491a0c15,"Contraindications


None.4 CONTRAINDICATIONS


None.",
c7e9d8a6-e8c2-4681-9362-51d5bdbae00d,"Contraindications


None.4 CONTRAINDICATIONS


None.",
c986f93b-855d-4ef0-b620-5d41a0513e48,"4 CONTRAINDICATIONS





General obesity not associated with congenital leptin deficiency. (4.1)
Hypersensitivity to metreleptin. (4.2)








4.1 General Obesity

MYALEPT is contraindicated in patients with general obesity not associated with congenital leptin deficiency. MYALEPT has not been shown to be effective in treating general obesity, and the development of anti-metreleptin antibodies with neutralizing activity has been reported in obese patients treated with MYALEPT [see 
Warnings and Precautions (5.1)
].








4.2 Hypersensitivity

MYALEPT is contraindicated in patients with prior severe hypersensitivity reactions to metreleptin or to any of the product components. Known hypersensitivity reactions have included anaphylaxis, urticaria and generalized rash [see 
Warnings and Precautions (5.6)
].",
33bff678-7829-479e-9110-b8e33a0bc0aa,"4 CONTRAINDICATIONS


None.






None (4)",
35c227d1-5b24-44b0-b5d3-f0f6b1c46bd5,"4        CONTRAINDICATIONS


None.






None (4)",
52f01c6e-172a-47a9-98a6-9eab7651a032,"4 CONTRAINDICATIONS

None






None. (4)",
4b5ab444-0e1a-4984-99db-76ad11a298ee,"4 CONTRAINDICATIONS


VONJO is contraindicated in patients concomitantly using strong CYP3A4 inhibitors or inducers as these medications can significantly alter exposure to pacritinib, which may increase the risk of adverse reactions or impair efficacy [see Warnings and Precautions (5.1, 5.2, 5.3,5.4), Drug Interactions (7.1), and Clinical Pharmacology (12.3)].






Concomitant use of strong CYP3A4 inhibitors or inducers (4)",
3a0096c7-8139-44cd-bba4-520ab05c2cb2,"4 CONTRAINDICATIONS


Synagis is contraindicated in children who have had a previous significant hypersensitivity reaction to Synagis [see 
Warnings and Precautions (5.1)
].






Previous significant hypersensitivity reaction to Synagis. (4)",
accf9569-4b57-4e83-a7db-4e890a75d1ba,"CONTRAINDICATIONS

Mitoxantrone is contraindicated in patients who have demonstrated prior hypersensitivity to it.",
e7b63b16-d911-478b-a445-b690a1360b48,"4 CONTRAINDICATIONS


Because thrombolytic therapy increases the risk of bleeding, RETAVASE is contraindicated in the following situations:

Active internal bleeding 
Recent stroke
Intracranial or intraspinal surgery or serious head trauma within 3 months
Intracranial conditions that increase the risk of bleeding (e.g. neoplasms, arteriovenous malformation, or aneurysms) 
Bleeding diathesis 
Current severe uncontrolled hypertension 








Do not use in patients with:


 Active internal bleeding (4)
Recent stroke (4)
Recent intracranial or intraspinal surgery or serious head trauma (4)
Intracranial neoplasm, arteriovenous malformation, or aneurysm (4)
Known bleeding diathesis (4)
Severe uncontrolled hypertension (4)",
2102da5f-a1a0-4ac7-a1f6-38698cf7273a,"4 CONTRAINDICATIONS

IBSRELA is contraindicated in:

Patients less than 6 years of age due to the risk of serious dehydration [see Warnings and Precautions (5.1), Use in Specific Populations (8.4)].

Patients with known or suspected mechanical gastrointestinal obstruction.








Pediatric patients less than 6 years of age. (4, 5.1, 8.4)
Patients with known or suspected mechanical gastrointestinal obstruction. (4)",
f16ecb50-e54e-43e1-8789-eaf5bc94f332,"CONTRAINDICATIONS

Miglitol tablets are contraindicated in patients with:


•Diabetic ketoacidosis

•Inflammatory bowel disease, colonic ulceration, or partial intestinal obstruction, and in patients predisposed to intestinal obstruction

•Chronic intestinal diseases associated with marked disorders of digestion or absorption, or with conditions that may deteriorate as a result of increased gas formation in the intestine

•Hypersensitivity to the drug or any of its components",
d8fb000e-3cc9-4803-b71d-2cc597661977,"4 CONTRAINDICATIONS


SUPPRELIN LA is contraindicated in:

Patients who are hypersensitive to gonadotropin releasing hormone (GnRH) or GnRH agonist analogs
Pregnancy [see Use in Specific Populations (8.1)].







History of hypersensitivity to gonadotropin releasing hormone (GnRH) or GnRH analogs (4). 

Pregnancy (4).",
99bef307-00bd-4379-9f45-ede1380e74d4,"4 CONTRAINDICATIONS


 None.





None.",
9c008384-379d-48d3-b5a5-9809ed0f655c,"4 CONTRAINDICATIONS

None
       
 
  .






None.",
83c7ac15-ece9-47de-b83c-d575544fa449,"CONTRAINDICATIONS 

Cesamet is contraindicated in any patient who has a history of hypersensitivity to any cannabinoid.",
6dfebf04-7c90-436a-9b16-750d3c1ee0a6,"4 CONTRAINDICATIONS 

YUPELRI is contraindicated in patients with hypersensitivity to revefenacin or any component of this product.





YUPELRI is contraindicated in patients with hypersensitivity to revefenacin or any component of this product. (4)",
acb7d02d-249b-4645-ac1b-8ff9a56dd244,"CONTRAINDICATIONS

Use of NICOTROL NS therapy is contraindicated in patients with known hypersensitivity or allergy to nicotine or to any component of the product.",
d222d68c-911e-48a9-9bde-a1ca7e992d18,"4 CONTRAINDICATIONS





Ocular Hyperemia (4.1)
Corneal Hypoesthesia (4.2)
Corneal Infections (4.3)








4.1	Ocular Hyperemia 

ACUVUE® Theravision™ with Ketotifen is contraindicated in patients with ocular hyperemia and should not be inserted into red or irritated eye(s).  Remove ACUVUE Theravision with Ketotifen immediately if eye(s) becomes red or irritated.








4.2	Corneal Hypoesthesia

ACUVUE Theravision with Ketotifen is contraindicated in patients with decreased corneal sensation.  








4.3	Corneal Infections

ACUVUE Theravision with Ketotifen is contraindicated in patients with any corneal infection (bacterial, fungal, protozoal or viral).",
42c49deb-713b-427a-9670-08af08adcffb,"4 CONTRAINDICATIONS

None.





None. (4)",
08982e49-d2eb-4b25-b01a-1be52fd669ef,"4 CONTRAINDICATIONS


APTIVUS is contraindicated in patients with moderate or severe (Child-Pugh Class B or C, respectively) hepatic impairment [see Warnings and Precautions (5.1)
].
APTIVUS/ritonavir is contraindicated when co-administered with drugs that are highly dependent on CYP 3A for clearance or are potent CYP 3A inducers (see Table 1) [see Drug Interactions (7.2)
].


Table 1	Drugs that are Contraindicated with APTIVUS Co-Administered with Ritonavir





Drug Class
Drugs within Class that are Contraindicated with APTIVUS Co-administered with Ritonavir
Clinical Comments:




Alpha 1-adrenoreceptor antagonist
Alfuzosin
Potentially increased alfuzosin concentrations can result in hypotension.


Antiarrhythmics
Amiodarone, bepridil, flecainide, propafenone, quinidine
Potential for serious and/or life-threatening reactions such as cardiac arrhythmias secondary to increases in plasma concentrations of antiarrhythmics.


Antimycobacterials
Rifampin
May lead to loss of virologic response and possible resistance to APTIVUS or to the class of protease inhibitors or other co-administered antiretroviral agents.


Ergot derivatives
Dihydroergotamine, ergonovine, ergotamine, methylergonovine
Potential for acute ergot toxicity characterized by peripheral vasospasm and ischemia of the extremities and other tissues.


GI motility agent 
Cisapride
Potential for cardiac arrhythmias.


Herbal products
St. John's wort (hypericum perforatum)
May lead to loss of virologic response and possible resistance to APTIVUS or to the class of protease inhibitors.


HMG CoA reductase inhibitors
Lovastatin, simvastatin
Potential for myopathy including rhabdomyolysis.


Antipsychotics
Pimozide
Potential for cardiac arrhythmias.



Lurasidone
Potential for serious and/or life-threatening reactions.


PDE-5 inhibitors
Sildenafil (Revatio) [for treatment of pulmonary arterial hypertension]
A safe and effective dose has not been established when used with APTIVUS/ritonavir. There is increased potential for sildenafil-associated adverse events (which include visual disturbances, hypotension, prolonged erection, and syncope).


Sedatives/hypnotics
Oral midazolam, triazolam
Prolonged or increased sedation or respiratory depression.



Due to the need for co-administration of APTIVUS with ritonavir, please refer to the ritonavir prescribing information for a description of ritonavir contraindications. 






Patients with moderate or severe (Child-Pugh Class B or C) hepatic impairment (4, 5.1)
Use with drugs highly dependent on CYP 3A for clearance or are potent CYP 3A inducers (4, 5.3, 7)",
471baba2-7154-4488-9891-0db2f46791e7,"4
		     
	CONTRAINDICATIONS


EVENITY is contraindicated in patients with:

Hypocalcemia. Pre-existing hypocalcemia must be corrected prior to initiating therapy with EVENITY [
see 
Warnings and Precautions (

5.3

)
, Adverse Reactions (

6.1

) and 
Use in Specific
 Populations (

8.7

)]
.


A history of systemic hypersensitivity to romosozumab or to any component of the product formulation. Reactions have included angioedema, erythema multiforme, and urticaria [see Warnings and Precautions (

5.2

)
 and Adverse Reactions (

6.1

)
].







Hypocalcemia (4)

Known hypersensitivity to EVENITY (4)",
08313a24-e7ce-457a-bb3f-161bc45517ee,"4 CONTRAINDICATIONS

None.





None.",
cd270093-c6a8-4596-a4ab-e6aa0a2c8a0c,"4 CONTRAINDICATIONS




PARSABIV is contraindicated in patients with known hypersensitivity to etelcalcetide or any of its excipients. (4)









Hypersensitivity

PARSABIV is contraindicated in patients with known hypersensitivity to etelcalcetide or any of its excipients. Hypersensitivity reactions, including face edema and anaphylactic reaction, have occurred with PARSABIV [see Adverse Reactions (6)].",
b40f3b2a-1859-4ed6-8551-444300806d13,"4 CONTRAINDICATIONS

None.





None. (4)",
bee9a137-160f-47e8-a551-ca461ae4f51e,"CONTRAINDICATIONS


BAL in Oil (Dimercaprol Injection USP) is contraindicated in most instances of hepatic insufficiency with the exception of postarsenical jaundice. The drug should be discontinued or used only with extreme caution if acute renal insufficiency develops during therapy.",
e6bad712-16df-4f32-a8ea-f8b52e30de00,"CONTRAINDICATIONS:

Prednicarbate ointment 0.1% is contraindicated in those patients with a history of hypersensitivity to any of the components in the preparations.",
5ccf0e9a-8935-4c8c-b883-b4967281eb4a,"CONTRAINDICATIONS

NILANDRON tablets are contraindicated:

                        in patients with severe hepatic impairment (baseline hepatic enzymes should be evaluated prior to treatment)
                        in patients with severe respiratory insufficiency
                        in patients with hypersensitivity to nilutamide or any component of this preparation.","severe hepatic impairment,severe respiratory insufficiency,hypersensitivity to nilutamide"
