concept_id	concept_name	concept_synonym_name
581480	pegademase bovine	pegademase
586302	Diptheria protein	
586306	Haemophilus capsular oligosaccharide	
586413	pneumococcal polysaccharides (23)	
586488	yellow-fever virus	
586491	cytomegalovirus immune globulin	
590675	MEASLES VIRUS VACCINE,LIVE ATTENUATED	measles, live attenuated
590768	mold extract	
594249	Measles Vaccine	
595252	Cholera Vaccine	
596876	Hepatitis A Vaccine, Inactivated	
597056	ROTAVIRUS VACCINE, LIVE	
636164	Vibrio cholerae serotype Inaba	
636167	Vibrio cholerae serotype Ogawa	
700253	thiopental	
700299	thioridazine	
700465	thiothixene	tiotixene
701322	memantine	
701378	Eryngium maritimum whole extract	
701379	odevixibat	
701414	Petasites amplus whole extract	
701423	belumosudil	
701424	antimony sulfate	
701439	fexinidazole	
701445	Jasminum officinale fruit extract	
701466	steardimonium hydroxypropyl peg-7 dimethicone phosphate chloride	
701469	.beta.-cyclodextrin sulfobutyl ether	
701470	anifrolumab	
701471	ethenyl	
701472	glucose 1,6-bisphosphate	
701493	polyurethane-62	
701494	iota-carrageenan	
701497	carboxymethylcellulose sodium (1.3 carboxymethyl substitution per saccharide; 600 MPA.S at 2%)	
701498	Leonurus japonicus stem extract	
701499	Pyrus communis flower whole extract	
701500	Rhinacanthus nasutus whole extract	
701501	Ziziphus jujuba var. spinosa seed extract	
701512	avalglucosidase alfa	
701523	imidazolidinone	
701524	sodium caprylyl sulfonate	
701525	Lythrum salicaria whole extract	
701526	onion juice	
701527	Rosa chinensis flower extract	
701539	dicapryl adipate	
701540	C12-16 pareth-7	
701541	Opuntia tuna fruit extract	
701542	allyl amyl glycolate	
701543	triethoxysilylethyl polydimethylsiloxyethyl hexyl dimethicone	
701546	Streptococcus pneumoniae serotype 10A capsular antigen diphtheria CRM197 protein conjugate vaccine	
701547	Streptococcus pneumoniae serotype 11A capsular antigen diphtheria CRM197 protein conjugate vaccine	
701548	Streptococcus pneumoniae serotype 12F capsular antigen diphtheria CRM197 protein conjugate vaccine	
701549	Streptococcus pneumoniae serotype 15B capsular antigen diphtheria CRM197 protein conjugate vaccine	
701550	Streptococcus pneumoniae serotype 8 capsular antigen diphtheria CRM197 protein conjugate vaccine	
701551	Streptococcus pneumoniae serotype 33F capsular antigen diphtheria CRM197 protein conjugate vaccine	
701552	Streptococcus pneumoniae serotype 22F capsular antigen diphtheria CRM197 protein conjugate vaccine	
701608	solvent yellow 18	
701695	dodecylphosphocholine	
701696	belzutifan	
701718	mordant yellow 10	
701719	Tetragonia tetragonoides whole extract	
701720	Rosa canina seed oil	
701721	Hibiscus sabdariffa whole extract	
701722	sesame oil unsaponifiables	
701755	polyglyceryl-10 caprate	
701756	prolinal	
701764	difelikefalin	
701782	deudextromethorphan	
701783	sodium ricinoleate	
701784	n1,n1,n2,n2-tetramethyl-n1-octadecyl-n2-(3-(trihydroxysilyl)propyl)ethane-1,2-diaminium dichloride	
701785	n1-hexadecyl-n1,n1,n2,n2-tetramethyl-n2-(3-(trihydroxysilyl)propyl)ethane-1,2-diaminium dichloride	
701793	2,4-D diethylethanolamine	
701794	lonapegsomatropin	
701866	.beta.-D-glucouronic acid	
701867	Achyranthes bidentata whole extract	
701869	dendropanax dentiger root with stem extract	
701870	valencene	
701873	Mallotus japonicus bark extract	
701874	Dendrobium moniliforme whole extract	
701875	Prunus persica twig extract	
701902	Curculigo orchioides whole extract	
701905	1-(2,3,8,8-tetramethyl-1,2,3,4,5,6,7,8-octahydronaphthalen-2-yl)ethanone, trans-(+/-)-	
701906	PEG-40 sorbitan peroleate	
701908	Cirsium japonicum extract	
701909	Crataegus pinnatifida whole extract	
701910	Artemisia capillaris whole extract	
701911	quaternium-90	
701912	Rubus coreanus whole extract	
701914	Ziziphus jujuba var. inermis whole extract	
701915	mobocertinib	
701938	Symphyotrichum oblongifolium whole extract	
701940	maralixibat	
701954	Fraxinus latifolia whole extract	
701957	tisotumab	
701968	menthyl ethylamido oxalate	
701980	p-nitrobiphenyl	
701981	Prunus mume flower oil	
701982	atogepant	
702002	fluorodopa	
702004	ioflupane	
702005	californium	
702006	technetium	
702007	florbetaben	
702008	flortaucipir	
702009	fluciclovine	
702010	2-phenyldodecane-p-sulfonate	
702012	dihydroeugenol	
702027	avacopan	
702039	.alpha.-ionene	
702093	palmitoyl tripeptide-8	
702094	Vincetoxicum atratum whole extract	
702099	tick-borne encephalitis purified antigen	
702110	luprostiol	
702119	Anastatica hierochuntica whole extract	
702120	Geranium thunbergii whole extract	
702121	Pulsatilla alpina whole extract	
702133	asciminib	
702134	PEG-7 propylheptyl ether	
702135	hexapeptide-49	
702136	carboxymethylcellulose sodium (0.9 carboxymethyl substitution per saccharide; 120 MPA.S at 1%)	
702177	n-tris((hydroxymethyl)methyl)-3-aminopropanesulfonic acid	
702180	2-methacryloyloxyethyl phosphorylcholine	
702195	.alpha.-dihydroartemisinin	
702196	ambrein	
702197	allyl cyclohexanebutyrate	
702198	bourgeonal	
702199	caprylamidopropyl betaine	
702200	cedramber	
702201	cymene	
702218	nonoxynol-9 sulfate	
702219	cannabichromene	
702220	dicalcium citrate	
702229	Eurycoma longifolia whole extract	
702230	hydrolyzed oryzanol	
702231	Stellera chamaejasme whole extract	
702232	Corydalis ambigua whole extract	
702233	Draba nemorosa whole extract	
702234	Lactuca indica whole extract	
702235	phosphorylcholine	
702236	Prunus persica whole extract	
702237	pyrrolidine	
702238	Achyranthes japonica root extract	
702262	gardenoside	
702263	titanium dihydride	
702264	Epimedium brevicornu whole extract	
702265	calcium phenoxide	
702266	methyl 2-octenoate, (E)-	
702275	dicapryl succinate	
702276	Mentha canadensis top extract	
702278	acetylarginyltryptophyl diphenylglycine	
702279	Arnebia guttata root extract	
702280	C18-38 alkyl hydroxystearoyl stearate	
702290	lauryl methacrylate	
702291	maribavir	
702303	Tahitian vanilla bean extract	
702304	Zaocys dhumnades preparation	
702305	Viola patrinii whole extract	
702317	styrene/ammonium acrylate copolymer (300000 MW)	
702318	vosoritide	
702365	dicalcium silicate	
702393	pafolacianine	
702407	ropeginterferon alfa-2b	
702418	tixagevimab	
702423	cilgavimab	
702454	Euphorbia antisyphilitica whole extract	
702461	isotridecyl alcohol	
702462	Picea abies whole extract	
702463	Plantago lanceolata whole extract	
702464	sweet cherry juice	
702468	efgartigimod alfa	
702469	ethylhexyl pelargonate	
702480	1-ethyl citrate	
702481	Copernicia prunifera whole extract	
702498	tezepelumab	
702530	nirmatrelvir	
702536	molnupiravir	
702542	ethyl vanillate	
702546	Rhododendron indicum flower extract	
702661	mephenytoin	
702685	mephobarbital	methylphenobarbital
702774	mepivacaine	
702865	meprobamate	
703083	mesoridazine	
703244	paliperidone	
703470	tranylcypromine	
703547	trazodone	
704053	methamphetamine	metamfetamine
704599	triazolam	
704943	methocarbamol	guaiphenesin carbamate
704984	trifluoperazine	
705103	lamotrigine	
705178	trihexyphenidyl	
705219	hylan G-F 20	hyaluronic acid, crosslinked
705755	trimipramine	
705944	methylphenidate	
706644	tubocurarine	
708298	midazolam	
709567	lisdexamfetamine	
709699	molindone	
710062	amitriptyline	
710650	modafinil	
711452	benzoate	
711584	levetiracetam	
711714	dantrolene	
712615	ziprasidone	
712757	amobarbital	
713109	amoxapine	
713192	fosphenytoin	
713196	interferon beta-1b	
713823	ropinirole	
714684	nefazodone	
714785	amphetamine	
715233	baclofen	
715259	duloxetine	
715458	tiagabine	
715710	rasagiline	
715727	tolcapone	
715939	escitalopram	
715997	donepezil	
716968	desipramine	
717136	neostigmine	
717607	desvenlafaxine	O-desmethylvenlafaxine
718122	oxcarbazepine	
718583	nicotine	
719057	dexfenfluramine	
719128	benzphetamine	
719174	benztropine	benzatropine
719311	dextroamphetamine	dexamfetamine
720727	zaleplon	
720810	pramipexole	
721724	nortriptyline	
722031	paroxetine	
722424	interferon beta-1a	
723013	diazepam	
723344	phendimetrazine	
724394	orphenadrine	
724816	oxazepam	
724908	biperiden	
725131	mirtazapine	
725822	diethylpropion	amfepramone
727835	pemoline	
729855	botulinum toxin type A	
729959	botulinum toxin type B	
730548	bromocriptine	
730729	pentobarbital	
731188	quazepam	
731533	dexmethylphenidate	
732309	pergolide	
732893	bupivacaine	
733008	perphenazine	
733301	buspirone	
733523	rivastigmine	
733896	phenelzine	
734275	phenobarbital	
734354	pregabalin	
735340	phentermine	
735843	natalizumab	
735850	disulfiram	
735951	riluzole	
735979	risperidone	3-(2-(4-(6-fluoro-1,2-benzisoxazol-3-yl)-1-piperidinyl)ethyl)-6,7,8,9-tetrahydro-2-methyl-4H-pyrido(1,2-A)pyrimidin-4-one
738152	doxapram	
738156	doxepin	
738818	doxylamine	
739138	sertraline	
739323	droperidol	
739363	sibutramine	
739370	zeaxanthin, meso-	
739371	.beta.-amyloid protein-(1-6)-peptidylglycylglycyl-L-cysteine-3-(2,5-dioxo-2,5-dihydro-1H-pyrrole-1-yl)-n-(6-((2,5-dioxopyrrolidin-1-yl)oxy)-6-oxohexyl)propanamide-alanine	
739372	triethoxysilylpropyl steardimonium	
739373	octadecyl di-tert-butyl-4-hydroxyhydrocinnamate	
739380	Limosilactobacillus fermentum	Lactobacillus fermentum
739381	ocean perch preparation	
739383	Rattus norvegicus hair preparation	
739384	glycerin 1,3-dimethyl ether	
739385	hydroxyethyl palmityl oxyhydroxypropyl palmitamide	
739386	Rosa X alba flower oil	
739388	Inula helnium whole extract	
739418	ansuvimab	
739437	heptane	
739438	vibegron	
739439	cinidon-ethyl	
739451	triethylene glycoldimethacrylate	
739468	.alpha.-citronellal	
739469	stearyl acrylate polymer (110000 MW)	
739470	Ipomoea batatas whole extract	
739471	relugolix	
739488	polyoxyl 15 hydroxystearate	
739489	imidazole	
739497	Solidago velutina whole extract	
739509	1,2-dimyristoyl-rac-glycero-3-methoxypolyethylene glycol 2000	
739510	alpha, alpha'-diglycerol	
739513	dimethyltetradecyl(3-(trimethoxysilyl)propyl)ammonium chloride	
739514	ethanethioic acid, S-(1-((1E)-2-hydroxyethenyl)butyl) ester	
739518	margetuximab	
739530	Mentha suaveolens leaf extract	
739531	naxitamab	
739557	clascoterone	
739579	1,1,1-triethoxyethane	
739580	PEG-4 caprylic-capric glycerides	
739581	perflenapent	
739582	triethenylmethylsilane	silane, triethenylmethyl-
739585	1,3,5-triethylbenzene	
739586	3-(3-methyl-2-thienyl)acrylic acid	
739588	cabotegravir	
739590	voclosporin	
739593	bifenthrin	
739594	phenylpropanol	1-phenylpropanol
739595	magnesite	magnesium carbonate anhydrous
739596	sodium lauroyl glycinate	
739597	almagate	
739600	monoethanolamine thioglycolate	
739601	Ginkgo biloba whole extract	
739619	sodium starch glycolate type B	
739634	alpha glucosidase	
739655	abametapir	
739665	vericiguat	
739666	manitol	
739708	(2-carbethoxyethyl)triethoxysilane	
739710	dimercaptosuccinic acid	2,3-dimercaptosuccinic acid
739711	acetamide	
739712	palmitoleate	
739716	acetyl tetrapeptide-2	
739717	N5-((2E)-((2-(((2,3-bis(omega-methoxypoly(oxyethylene))propoxy)carbonyl)amino)ethoxy)imino)ethyl)glutamine (43000 MW)	
739718	polyglyceryl-3 methylglucose distearate	
739719	sulfachlorpyridazine	
739721	10-hydroxystearic acid	10-hydroxy-octadecanoic acid
739722	ethyl caproate	ethyl hexanoate
739723	Opuntia ficus indica leaf extract	
739739	tepotinib	
739756	antimony trioxide	
739766	Laccocephalum mylittae whole extract	
739767	Areca catechu fruit rind extract	
739768	cifostodine	
739769	Cleome gynandra whole extract	
739770	etesevimab	
739794	evinacumab	
739804	umbralisib	
739821	tigilanol tiglate	
739850	sodium lauroyl methyl taurate	
739856	lisocabtagene maraleucel	
739874	Quercus robur wood extract	
739875	Paulownia tomentosa whole extract	
739876	Cydonia oblonga leaf extract	
739877	Cryptomeria japonica bark extract	
739878	Cupressus sempervirens bark extract	
739879	Stevia serrata flower oil	
739880	apple wood extract	
739881	octyldodecyl xyloside	
739884	sodium phenyllactate	
739885	3-phenyl-1-propanol	
739886	primycin	
739887	trilaciclib	
739902	SARS-COV-2 (COVID-19) vaccine, vector non-replicating	
739907	casimersen	
739918	Cyamopsis tetragonoloba whole extract	
739919	polyglyceryl-10 dipalmitate	
739920	Raphanus sativus var. Caudatus root extract	
739921	Hibiscus lunariifolius whole extract	
739922	Inga alba bark extract	
739972	Santalum paniculatum wood oil	
739973	Aratinga erythrogenys feather extract	
740012	.alpha.-cubebene, (-)-	
740013	.alpha.-phellandrene	
740014	borneol, (+)-	
740031	Toxoplasma gondii DNA	
740035	glyceryl	
740036	Tsuga canadensis whole extract	
740037	Diacronema lutheri preparation	
740038	Cylindrotheca fusiformis extract	
740047	fosdenopterin	
740062	Magnolia biondii flower bud extract	
740064	rosmarinate	
740067	melphalan flufenamide	
740083	Aloysia citrodora leaf oil	
740107	Chrysanthemum indicum whole extract	
740108	Chlorophytum borivilianum whole extract	
740113	Armadillidium vulgare whole extract	
740114	rice bran, defatted	
740121	ponesimod	
740169	dimer dilinoleyl diisostearate	
740192	Mitchella repens extract	
740193	acid green 50	
740194	bis-diglyceryl polyacyladipate-1	
740195	Astragalus canadensis root extract	
740196	Astragalus propinquus root polysaccharides	Astragalus membranaceus root polysaccharides
740196	Astragalus propinquus root polysaccharides	Astragalus mongholicus root polysaccharides
740197	Caladium bicolor whole extract	
740198	polyglyceryl-6 caprylate	
740199	Ranunculus bulbosus root extract	
740200	Vigna radiata whole extract	
740275	carbamazepine	
740560	carbidopa	
740910	phenytoin	
740924	edrophonium	
741530	orlistat	
741578	teclistamab	
741579	propanediol caprylate	
741584	4-acetylanisole	
741606	glyceryl acrylate - acrylic acid copolymer (300000 CP AT 2%)	
741607	eflapegrastim	
741608	elivaldogene autotemcel	
741642	1,3-butylene glycol cocoate	
741656	omidenepag	
741667	aceneuramate	
741678	Shorea robusta resin	
741688	GLY-GLN-PRO-ARG-OH	tetrapeptide-7
741691	hydrogen dimethicone (30 CST)	
741701	taurursodiol	tauroursodeoxycholic acid
741724	Narcissus poeticus flower oil	
741726	gadopiclenol	
741727	Toxicodendron succedaneum fruit wax	
741756	butyl oxoacetate	
741838	ferriclate calcium sodium	
741839	Cladonia rangiferina whole extract	
741840	diglyceryl monosebacate	
741841	hydroxypropyl acrylate	
741842	PEG-40 distearate	
741849	starch, tapioca	tapioca starch
741851	tremelimumab	ticilimumab
741861	proteoglycan 4	
741862	Brucea javanica fruit extract	
741872	sialyl Lewis A	CA-19-9 antigen
741873	Solanum lycocarpum fruit extract	
741891	Lavandula angustifolia subsp. pyrenaica whole extract	
741894	Curcuma involucrata root extract	
741895	Mentha canadensis whole extract	
741901	acid red 337 free acid	
741903	pareptide	
741904	mangostin	
741908	MPEG 6000 acetyl lysine	
741909	vat violet 2	
741910	polyamide-5	
741911	linzagolix	
741920	Pinus radiata bark extract	
741921	PPG-10 caprylyl ether	
741922	vat yellow 4	
741923	acid red 337	
741924	Sparassis crispa fruiting body extract	
741941	Syzygium luehmannii fruit extract	
741943	polyglyceryl-2 distearate	
741944	Rosa centifolia whole extract	
741945	1,2-distearoyl-sn-glycero-3-(phospho-rac-(1-glycerol))	
741946	silver stearate	
741947	mirvetuximab soravtansine	
741960	alpha-lactalbumin (bovine)	
741963	Aesculus chinensis whole extract	
741964	Anigozanthos flavidus flowering top extract	
741965	caprooyl phytosphingosine	
741966	Davidsonia pruriens fruit extract	
741969	Bambara groundnut extract	
741975	PEG-10 dimethicone (220 CST)	
741986	Pulsatilla vulgaris top extract	
741987	sodium oleyl sulfate	
741988	magnesium oleth sulfate	
741989	Magnolia sieboldii root extract	
741995	teplizumab	
742006	histidinal, L-	
742010	phellodendrine	
742014	Lippia sidoides leaf oil	
742015	dimethicone PEG-8 meadowfoamate	
742016	polyacrylate-1 crosspolymer	
742042	Myrica cerifera fruit extract	
742043	isocetyl isostearate	
742050	olutasidenib	
742051	PEG-55 propylene glycol oleate	
742052	Smallanthus sonchifolius root juice	
742075	Vitreoscilla lysate extract	
742081	cobaltous phosphate	
742082	cetyl diglyceryl tris(trimethylsiloxy)silylethyl dimethicone (3500 MM2/S)	
742083	ethoxydiglycol oleate	
742084	saffron oil	
742117	Zaire ebolavirus envelope glycoprotein	
742185	atomoxetine	
742267	topiramate	
742594	trichloroacetaldehyde	
743196	enflurane	
743670	venlafaxine	
744740	zolpidem	
744798	zonisamide	
745268	ergoloid mesylates, USP	ergoloid mesylates
745466	valproate	
745790	pimozide	
748010	estazolam	
749727	ethchlorvynol	
749910	carisoprodol	
750119	ethosuximide	
750146	ethotoin	
750982	bupropion	
751246	lithium carbonate	
751347	primidone	
751412	fluvoxamine	
751698	procaine	
751889	glatiramer	
752061	prochlorperazine	
752276	procyclidine	
753626	propofol	
753860	fenfluramine	
754270	protriptyline	
755695	fluoxetine	
756018	fluphenazine	
756349	flurazepam	
757352	eszopiclone	
757627	galantamine	
757688	aripiprazole	
759401	methsuximide	mesuximide
759740	pyridostigmine	
766067	secobarbital	
766209	selegiline	
766337	guanidine	
766529	haloperidol	
766814	quetiapine	
767410	lithium citrate	
777221	hydroxyzine	
778268	imipramine	
778474	tizanidine	
778711	cyclobenzaprine	
779081	mitapivat	
779105	wheat germ oil unsaponifiables	
779106	tetraethyl silicate	
779107	dimethicone-phenyl vinyl dimethicone crosspolymer	
779108	Impatiens balsamina flowering top extract	
779109	Mucuna birdwoodiana stem extract	
779110	anisole	
779111	lauryl lactyl lactate, DL-	
779144	ciltacabtagene autoleucel	
779178	milk protein concentrate	
779180	pacritinib	
779197	.beta.-glucogallin	
779215	ceramide 5	
779231	cranberry seed extract	
779239	relatlimab	
779250	Tasmannia lanceolata leaf extract	
779260	lauryl lactyl lactate, L-	
779271	vipivotide tetraxetan	
779276	Ligustrum lucidum fruit extract	
779293	N-acetyl-glucosamine thiazoline	
779294	PEG-7 trimethylolpropane coconut ether	
779295	hypotaurine	
779324	Cynanchum otophyllum whole extract	
779328	indole-3-carbinol	
779329	methane	
779330	methoxychlor	
779475	Berberis aristata fruit extract	
779482	oleth-4 phosphate	
779496	brincidofovir	
779554	Adenium obesum whole extract	
779555	((4-hydroxybutyl)azanediyl)bis(hexane-6,1-diyl)bis(2-hexyldecanoate)	
779556	2-(MPEG 2000)-N,N-ditetradecylacetamide	
779569	Bacillus clausii	
779578	calcium fructoborate	
779579	bismuth phosphate	
779580	cadmium fluoride	
779581	isomaltitol	
779582	imepitoin	
779591	mavacamten	
779636	Commiphora wightii resin	
779637	Gaultheria procumbens whole extract	
779638	PEG-6 sorbitan stearate	
779644	trachyspermum ammi flower extract	
779645	Vitex negundo whole extract	
779662	frunevetmab	
779667	calcium bromate	
779669	azaperone	
779670	hypromellose 2910 0.45% stearoxy ether	
779686	vatinoxan	
779698	Phyllostachys nigra leaf extract	
779705	tirzepatide	
779768	ethyl glycolate	
779769	iscotrizinol	
779786	ceteth-18	
779787	Echinacea purpurea flowering top water	
779788	butyloctanol	
779789	solanum anomalum whole extract	
779790	tapinarof	
779819	oteseconazole	
779849	Dryobalanops aromatica whole extract	
779867	Albatrellus confluens fruiting body extract	
779868	chromic bromide	
779869	chromic fluoride	
779870	Physalis pubescens fruit juice	
779871	polyglyceryl-10 myristate	
779889	heparan sulfate	
779890	measles virus vaccine live, attenuated Schwarz strain	
779919	1,4-butanedithiol	
779920	1-(ethyltrisulfanyl)propane	
779928	beryllium cation	
779946	Strelitzia nicolai whole extract	bird-of-paradise tree whole extract
779951	Lippia graveolens leaf extract	
779952	withanolide D	
779953	ferric ferricyanide	
779955	valnemulin	
779968	glycerin 1-methyl ether	
779969	glycerin 2-methyl ether	
779970	dimethicone/polyglycerin-3 crosspolymer	
779975	ethylene dodecanedioate	
779976	hexyl cinnamate	
779978	PEG-10 beta-sitosteryl ether	
779979	plum juice	
779980	POLYQUATERNIUM-80	
779981	solvent yellow 29	
779982	Vitis vinifera stem extract	
779984	vonoprazan	
779985	vutrisiran	
779996	distarch phosphate, corn	
779997	N-acetylvaline	
779999	ilodecakin	
780003	ganaxolone	
780065	Limonia acidissima whole extract	
780066	methyl 3-hydroxyhexanoate	
780113	maltobionate	
780140	anisyl acetate	
780148	Coccinia grandis whole extract	
780149	surinamine	
780152	SARS-COV-2 (COVID-19) vaccine, subunit, recombinant spike protein	
780160	Bursera graveolens fruit oil	
780369	metaxalone	
780442	varenicline	
781039	alprazolam	
781182	ramelteon	
781705	isocarboxazid	
782043	isoflurane	
782211	entacapone	
785649	ketamine	
785788	olanzapine	
786426	rotigotine	
787362	ambenonium	
787787	hyaluronate	
789578	levodopa	
789779	domestic cow dander extract	domestic cow dander allergenic extract
789780	guinea pig dander	guinea pig dander allergenic extract
789781	European aspen pollen extract	Populus tremula pollen extract
789788	western larch pollen extract	Larix occidentalis pollen extract
789789	London planetree	Platanus x acerifolia pollen extract
789789	London planetree	Plantus hybrida pollen extract
789790	limonene diepoxide	
789791	Artemisia absinthium whole extract	wormwood whole extract
789800	sodium lauryl phosphate	
789809	bis-octyldodecyl dimer dilinoleate - propanediol copolymer	
789810	glyceryl stearate - PEG-100 stearate	
789811	horse dander extract	Equus caballus dander extract
789812	dog dander extract	Canis lupus familiaris dander extract
789813	Caryodendron orinocense whole extract	
789814	herpesvirus 6, human	
789815	Lavandula x intermedia whole extract	
789837	botulinum toxin type B	
789846	chinquapin oak pollen extract	Quercus muehlenbergii pollen extract
789889	snow crab allergenic extract	Chionoecetes opilio allergenic extract
789890	sweet wormwood pollen extract	Artemisia annua pollen extract
789903	hexadecane	
789904	tetradecane	
789905	vinyltrimethylsilyloxy silicate	
789908	4-methylphenethyl alcohol	
789933	zinc carbobenzoxy-.beta.-alanyltaurinate	
789937	Betula lenta bark extract	sweet birch bark extract
789938	Kunzea ambigua whole extract	tickbush whole extract
789963	Veratrum viride whole extract	
789964	butyl avocadate	
